地名,センター,燃やすごみ,燃やさないごみ,衣服・布,雑古紙,雑誌,びん・缶,その他プラ容器包装,ペットボトル,ごみ収集がない日
亀和田町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
北赤塚町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
北半田	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
銀座1丁目	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
銀座2丁目	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
草久	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
口粟野	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
久野	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
久保町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
晃望台	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
高谷	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
古賀志町	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
幸町1丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
幸町2丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
栄町1丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
栄町2丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
栄町3丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
坂田山1丁目	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
坂田山2丁目	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
坂田山3丁目	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
坂田山4丁目	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
酒野谷	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
笹原田	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
さつき町	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
佐目町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
三幸町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
塩山町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
